REPORT_DATE,FATALITIES,COUNTY,change_2006_2016,indicator_2002_2006,indicator_1999_2001,indicator_1993_1998,name,Longitude,Latitude,Region,Family,Color,Nearest Neighbor
1995-06-30,2,44007,3.0,0,0,1,Providence,-71.58004041,41.8721229,,,,
1999-10-30,1,42049,-3.0,0,1,0,Erie,-80.03257439,41.9921752,,,,
1998-08-11,1,42011,1.0,0,0,1,Berks,-75.92604322,40.41644424,,,,
1998-06-20,7,42061,0.0,0,0,1,Huntingdon,-77.98140696,40.41688617,,,,
1997-01-22,1,42025,-1.0,0,0,1,Carbon,-75.70851105,40.91846484,,,,
1997-01-13,1,42125,-1.0,0,0,1,Washington,-80.24855447,40.18935898,,,,
2000-11-10,1,42009,0.0,0,1,0,Bedford,-78.49051194,40.00670558,,,,
2000-07-03,1,42075,-1.0,0,1,0,Lebanon,-76.45759104,40.36716938,,,,
2000-01-29,1,42101,0.0,0,1,0,Philadelphia,-75.13324284,40.00806441,,,,
2001-05-21,1,36103,0.0,0,1,0,Suffolk,-72.84423227,40.87024178,,,,
1995-03-22,1,41067,0.0,0,0,1,Washington,-123.0985728,45.55989124,,,,
1999-12-09,1,40089,-1.0,0,1,0,McCurtain,-94.77145458,34.1162239,,,,
1999-11-23,2,40087,0.0,0,1,0,McClain,-97.44298086,35.00888538,,,,
1999-10-05,3,40133,-1.0,0,1,0,Seminole,-96.61546183,35.1672074,,,,
1999-05-19,1,40131,-3.0,0,1,0,Rogers,-95.60476511,36.37196654,,,,
1999-03-14,1,40039,0.0,0,1,0,Custer,-99.0014123,35.63856198,,,,
1997-11-03,1,39003,0.0,0,0,1,Allen,-84.10584177,40.77151716,,,,
1997-05-27,1,39069,1.0,0,0,1,Henry,-84.06830637,41.3339642,,,,
1995-08-28,1,39005,1.0,0,0,1,Ashland,-82.27061922,40.84592901,,,,
1994-12-17,2,39011,0.0,0,0,1,Auglaize,-84.22168058,40.56085701,,,,
1999-05-05,1,36037,-4.0,0,1,0,Genesee,-78.19407819,43.00056703,,,,
1997-04-04,1,36105,-2.0,0,0,1,Sullivan,-74.7681497,41.71624399,,,,
1997-10-19,1,36001,0.0,0,0,1,Albany,-73.97341306,42.59987237,,,,
1997-03-06,1,36089,-2.0,0,0,1,St. Lawrence,-75.06907698,44.49647794,,,,
1997-09-21,1,36043,1.0,0,0,1,Herkimer,-74.96255405,43.41936241,,,,
1996-02-01,1,36119,0.0,0,0,1,Westchester,-73.75591281,41.16176335,,,,
2000-10-03,1,36103,0.0,0,1,0,Suffolk,-72.84423227,40.87024178,,,,
2000-05-15,1,36119,0.0,0,1,0,Westchester,-73.75591281,41.16176335,,,,
2001-10-16,1,32003,-3.0,0,1,0,Clark,-115.0146087,36.21511541,,,,
1999-06-10,1,32007,1.0,0,1,0,Elko,-115.3578839,41.14601583,,,,
1997-03-25,1,35035,0.0,0,0,1,Otero,-105.7417441,32.61323163,,,,
1997-10-06,1,34039,-3.0,0,0,1,Union,-74.30721513,40.65928966,,,,
1995-03-24,1,31019,0.0,0,0,1,Buffalo,-99.07510068,40.85504881,,,,
1994-08-02,1,31047,0.0,0,0,1,Dawson,-99.81946635,40.86987625,,,,
1998-08-10,1,31019,0.0,0,0,1,Buffalo,-99.07510068,40.85504881,,,,
