,ZIP3,exit_2007,exit_2008,exit_2015,exit_2016,exit_2006_2016
130,180,0.0,-1.0,0.0,0.0,-1.0
131,181,-1.0,-1.0,0.0,0.0,-2.0
132,182,-1.0,0.0,0.0,0.0,-2.0
133,183,0.0,0.0,0.0,0.0,-2.0
134,184,0.0,0.0,0.0,0.0,-1.0
135,186,-1.0,0.0,0.0,0.0,-2.0
136,187,0.0,0.0,0.0,0.0,0.0
137,188,0.0,0.0,0.0,0.0,-1.0
138,189,0.0,0.0,0.0,0.0,0.0
139,190,0.0,-1.0,-1.0,0.0,-4.0
140,191,-1.0,0.0,0.0,0.0,-1.0
141,193,0.0,0.0,0.0,0.0,0.0
142,194,0.0,0.0,0.0,0.0,-1.0
143,195,0.0,0.0,0.0,-2.0,-4.0
144,196,0.0,0.0,0.0,0.0,0.0
145,197,0.0,0.0,-1.0,0.0,-1.0
146,199,0.0,0.0,-1.0,-1.0,-4.0
147,201,0.0,-1.0,0.0,0.0,-2.0
148,206,0.0,0.0,-1.0,0.0,-1.0
149,207,0.0,0.0,0.0,0.0,-4.0
150,208,0.0,0.0,0.0,0.0,0.0
151,210,0.0,0.0,0.0,0.0,-1.0
152,211,0.0,0.0,0.0,0.0,0.0
153,212,-1.0,0.0,-1.0,-1.0,-2.0
154,215,0.0,-1.0,0.0,-1.0,-1.0
155,216,0.0,0.0,0.0,-1.0,-2.0
156,217,0.0,0.0,0.0,0.0,0.0
157,218,0.0,0.0,0.0,0.0,-1.0
158,219,0.0,-1.0,-2.0,0.0,-1.0
159,224,0.0,0.0,0.0,0.0,0.0
160,225,0.0,0.0,0.0,0.0,-1.0
161,226,0.0,0.0,0.0,0.0,0.0
162,227,0.0,0.0,0.0,0.0,0.0
163,228,0.0,0.0,0.0,0.0,0.0
164,229,0.0,-1.0,0.0,0.0,-2.0
165,230,0.0,0.0,-1.0,0.0,-2.0
166,231,-1.0,0.0,0.0,0.0,-3.0
167,232,-1.0,-1.0,0.0,0.0,-2.0
168,233,0.0,0.0,0.0,0.0,0.0
169,234,0.0,0.0,0.0,0.0,-1.0
170,235,0.0,0.0,0.0,0.0,0.0
171,236,0.0,0.0,0.0,0.0,-2.0
172,237,0.0,0.0,0.0,0.0,0.0
173,238,0.0,0.0,0.0,0.0,-1.0
174,239,0.0,0.0,-1.0,0.0,-1.0
175,240,0.0,0.0,-1.0,0.0,-4.0
176,241,0.0,0.0,0.0,-1.0,-2.0
177,242,0.0,-1.0,0.0,0.0,-2.0
178,243,0.0,-1.0,0.0,0.0,-2.0
179,244,-1.0,0.0,0.0,0.0,-2.0
180,245,0.0,-2.0,0.0,0.0,-8.0
181,246,0.0,0.0,0.0,0.0,-1.0
182,247,-1.0,0.0,0.0,0.0,-1.0
183,249,-1.0,0.0,0.0,0.0,0.0
184,250,0.0,0.0,0.0,0.0,-1.0
185,251,0.0,0.0,0.0,0.0,0.0
186,252,0.0,0.0,0.0,0.0,-1.0
187,253,0.0,0.0,0.0,0.0,0.0
188,254,0.0,0.0,0.0,0.0,0.0
189,255,0.0,0.0,0.0,0.0,0.0
190,257,0.0,0.0,0.0,0.0,0.0
191,258,0.0,0.0,0.0,0.0,0.0
192,260,0.0,0.0,0.0,0.0,-1.0
193,261,0.0,-1.0,0.0,0.0,-1.0
194,263,0.0,0.0,0.0,0.0,-1.0
195,264,0.0,0.0,0.0,-1.0,-1.0
196,265,0.0,0.0,0.0,0.0,0.0
197,266,0.0,0.0,0.0,0.0,-1.0
198,267,0.0,0.0,0.0,0.0,-1.0
199,270,0.0,0.0,0.0,0.0,-2.0
200,271,0.0,0.0,0.0,0.0,0.0
201,272,0.0,0.0,0.0,0.0,-2.0
202,273,0.0,-1.0,0.0,-1.0,-6.0
203,274,0.0,0.0,-1.0,0.0,-1.0
204,275,0.0,0.0,0.0,0.0,-4.0
205,276,0.0,0.0,0.0,0.0,-4.0
206,277,-1.0,0.0,0.0,0.0,-1.0
207,278,0.0,-1.0,0.0,0.0,-2.0
208,279,0.0,0.0,0.0,-1.0,-1.0
209,280,0.0,-1.0,-1.0,0.0,-3.0
210,281,0.0,0.0,0.0,-1.0,-6.0
211,282,0.0,0.0,0.0,0.0,-2.0
212,283,-3.0,-1.0,0.0,-1.0,-8.0
213,284,-1.0,-1.0,0.0,-1.0,-4.0
214,285,0.0,0.0,0.0,0.0,-4.0
215,286,0.0,-1.0,0.0,-1.0,-7.0
216,287,-1.0,-2.0,0.0,0.0,-7.0
217,289,0.0,0.0,0.0,0.0,-1.0
218,290,-7.0,-1.0,-1.0,-1.0,-4.0
219,291,-3.0,0.0,-1.0,-1.0,-6.0
220,292,0.0,0.0,0.0,0.0,-2.0
221,293,0.0,-1.0,0.0,-1.0,-3.0
222,294,0.0,-1.0,0.0,0.0,-3.0
223,295,0.0,0.0,0.0,0.0,-3.0
224,296,0.0,-1.0,-3.0,0.0,-6.0
225,297,0.0,0.0,0.0,0.0,-5.0
226,298,-1.0,-1.0,-2.0,0.0,-9.0
227,299,-1.0,0.0,0.0,-1.0,-2.0
228,300,0.0,0.0,0.0,-1.0,-4.0
229,301,-3.0,-2.0,-2.0,0.0,-9.0
230,302,-1.0,-5.0,0.0,0.0,-10.0
231,303,-1.0,0.0,-1.0,-1.0,-3.0
232,304,0.0,0.0,-1.0,-1.0,-5.0
233,305,-3.0,0.0,0.0,0.0,-5.0
234,306,-2.0,0.0,-1.0,0.0,-6.0
235,307,0.0,0.0,-1.0,0.0,-3.0
236,308,0.0,0.0,0.0,0.0,-3.0
237,309,-1.0,-2.0,0.0,0.0,-7.0
238,310,-1.0,-1.0,-3.0,0.0,-10.0
239,312,-1.0,0.0,0.0,0.0,-1.0
240,313,0.0,0.0,0.0,0.0,-2.0
241,314,0.0,0.0,0.0,0.0,-4.0
242,315,-3.0,0.0,0.0,0.0,-9.0
243,316,0.0,0.0,-1.0,-2.0,-4.0
244,317,-3.0,-2.0,-2.0,-1.0,-10.0
245,318,0.0,0.0,0.0,0.0,0.0
246,319,0.0,0.0,0.0,0.0,-3.0
247,320,0.0,0.0,0.0,-2.0,-4.0
248,321,0.0,-1.0,0.0,0.0,-2.0
249,322,-1.0,-1.0,0.0,0.0,-4.0
250,323,-1.0,-1.0,0.0,0.0,-4.0
251,324,0.0,-1.0,-1.0,0.0,-9.0
252,325,0.0,-1.0,0.0,0.0,-5.0
253,326,0.0,0.0,0.0,0.0,0.0
254,327,0.0,0.0,0.0,0.0,-3.0
255,328,0.0,0.0,-1.0,0.0,-1.0
256,329,0.0,0.0,0.0,0.0,0.0
257,330,0.0,0.0,0.0,0.0,-2.0
258,331,-1.0,0.0,0.0,0.0,-2.0
259,332,0.0,-1.0,0.0,0.0,-1.0
260,333,0.0,0.0,0.0,0.0,-1.0
261,334,0.0,-1.0,0.0,0.0,-3.0
262,335,0.0,0.0,-1.0,0.0,-3.0
263,336,0.0,-1.0,0.0,-1.0,-4.0
264,337,0.0,0.0,0.0,0.0,-1.0
265,338,0.0,-1.0,-2.0,-1.0,-7.0
266,339,0.0,0.0,-1.0,0.0,-4.0
267,341,0.0,0.0,0.0,0.0,0.0
268,342,-1.0,0.0,0.0,0.0,-2.0
269,344,0.0,0.0,0.0,0.0,-1.0
270,346,0.0,0.0,0.0,0.0,-1.0
271,347,0.0,-1.0,0.0,-1.0,-2.0
272,349,0.0,0.0,0.0,0.0,-2.0
273,350,0.0,-1.0,0.0,-1.0,-7.0
274,351,-1.0,-2.0,-1.0,-1.0,-6.0
275,352,-1.0,-1.0,0.0,0.0,-2.0
276,354,-2.0,-1.0,-1.0,0.0,-5.0
277,355,-1.0,-1.0,0.0,0.0,-6.0
278,356,0.0,-1.0,-1.0,-1.0,-3.0
279,357,0.0,0.0,0.0,0.0,0.0
280,358,-1.0,0.0,0.0,0.0,-1.0
281,359,0.0,-2.0,-1.0,-1.0,-4.0
282,360,0.0,0.0,-1.0,-1.0,-4.0
283,361,-1.0,-1.0,0.0,0.0,-1.0
284,362,0.0,0.0,0.0,0.0,-3.0
285,363,0.0,0.0,0.0,-2.0,-7.0
286,364,-1.0,-2.0,0.0,-1.0,-14.0
287,365,-1.0,-1.0,0.0,0.0,-6.0
288,366,0.0,0.0,-1.0,0.0,-1.0
289,367,0.0,0.0,0.0,-1.0,-4.0
290,368,0.0,0.0,0.0,0.0,0.0
291,369,0.0,-1.0,0.0,0.0,-2.0
292,370,0.0,-1.0,0.0,-1.0,-3.0
293,371,-3.0,-1.0,0.0,0.0,-4.0
294,372,0.0,0.0,0.0,0.0,0.0
295,373,0.0,-1.0,0.0,-1.0,-4.0
296,374,0.0,0.0,0.0,0.0,0.0
297,376,0.0,0.0,0.0,0.0,-1.0
298,377,0.0,-2.0,0.0,0.0,-2.0
299,378,0.0,-2.0,0.0,0.0,-3.0
300,379,-2.0,0.0,0.0,0.0,-2.0
301,380,-1.0,-1.0,0.0,-1.0,-5.0
302,381,0.0,0.0,0.0,0.0,-3.0
303,382,-2.0,0.0,0.0,0.0,-2.0
304,383,-1.0,0.0,-1.0,-2.0,-4.0
305,384,0.0,0.0,0.0,-1.0,-4.0
306,385,0.0,0.0,0.0,0.0,-2.0
307,386,0.0,-2.0,-1.0,-1.0,-9.0
308,387,0.0,0.0,0.0,0.0,-2.0
309,388,-1.0,-2.0,-1.0,0.0,-7.0
310,389,-2.0,-1.0,0.0,0.0,-4.0
311,390,-1.0,0.0,0.0,0.0,-3.0
312,391,0.0,-2.0,0.0,-2.0,-8.0
313,392,-1.0,0.0,-1.0,0.0,-3.0
314,393,-1.0,0.0,0.0,-1.0,-7.0
315,394,-1.0,0.0,-2.0,0.0,-9.0
316,395,-1.0,0.0,0.0,0.0,-6.0
317,396,-2.0,-1.0,0.0,0.0,-5.0
318,397,0.0,-2.0,-2.0,0.0,-5.0
319,398,-1.0,0.0,0.0,-1.0,-1.0
320,400,0.0,0.0,0.0,-1.0,-2.0
321,401,0.0,0.0,-1.0,0.0,-1.0
322,402,0.0,0.0,0.0,0.0,-1.0
323,403,0.0,-2.0,0.0,0.0,-2.0
324,404,0.0,0.0,0.0,0.0,-2.0
325,405,0.0,0.0,0.0,0.0,-3.0
326,406,0.0,0.0,0.0,0.0,0.0
327,407,0.0,0.0,0.0,0.0,-1.0
328,409,0.0,0.0,-1.0,0.0,-1.0
329,410,0.0,0.0,0.0,0.0,-2.0
330,411,-1.0,0.0,-1.0,0.0,-6.0
331,412,0.0,-1.0,0.0,0.0,-1.0
332,413,0.0,0.0,0.0,0.0,-1.0
333,414,0.0,-1.0,0.0,0.0,-2.0
