,COUNTY,change_2007,change_2008,change_2015,change_2016,change_2006_2016
202,08061,0.0,0.0,0.0,0.0,-1.0
203,08063,0.0,0.0,0.0,0.0,0.0
204,08067,0.0,0.0,0.0,0.0,0.0
205,08069,0.0,0.0,0.0,0.0,1.0
206,08071,0.0,0.0,0.0,0.0,-1.0
207,08073,0.0,0.0,0.0,0.0,1.0
208,08075,0.0,0.0,0.0,0.0,0.0
209,08077,0.0,0.0,1.0,0.0,1.0
210,08081,0.0,0.0,0.0,0.0,0.0
211,08083,0.0,0.0,0.0,0.0,-1.0
212,08085,0.0,0.0,0.0,0.0,0.0
213,08087,1.0,0.0,-1.0,0.0,0.0
214,08089,0.0,0.0,1.0,0.0,0.0
215,08093,1.0,0.0,0.0,0.0,1.0
216,08099,0.0,0.0,0.0,0.0,0.0
217,08101,0.0,0.0,0.0,-1.0,-3.0
218,08103,0.0,0.0,0.0,0.0,2.0
219,08105,0.0,0.0,0.0,0.0,0.0
220,08109,0.0,0.0,0.0,0.0,0.0
221,08115,0.0,0.0,0.0,0.0,-1.0
222,08123,0.0,0.0,-1.0,1.0,1.0
223,08125,0.0,0.0,0.0,0.0,0.0
224,09001,0.0,0.0,-2.0,0.0,-1.0
225,09003,0.0,0.0,0.0,0.0,1.0
226,09005,0.0,0.0,0.0,0.0,-1.0
227,09007,-1.0,0.0,0.0,0.0,-1.0
228,09009,0.0,0.0,-2.0,0.0,-1.0
229,09011,-1.0,0.0,0.0,0.0,1.0
230,09013,0.0,0.0,0.0,0.0,-1.0
231,09015,0.0,0.0,0.0,0.0,0.0
232,10001,0.0,0.0,0.0,0.0,0.0
233,10003,0.0,0.0,-1.0,0.0,0.0
234,10005,0.0,0.0,-1.0,-1.0,-1.0
235,12001,0.0,0.0,0.0,0.0,1.0
236,12003,0.0,0.0,0.0,0.0,0.0
237,12005,0.0,0.0,0.0,0.0,0.0
238,12009,0.0,0.0,0.0,0.0,-1.0
239,12011,0.0,1.0,0.0,0.0,1.0
240,12015,0.0,0.0,-1.0,0.0,-2.0
241,12019,0.0,0.0,0.0,0.0,0.0
242,12021,0.0,0.0,0.0,0.0,0.0
243,12023,0.0,0.0,0.0,0.0,1.0
244,12027,-1.0,0.0,0.0,0.0,-1.0
