,year,zip3,cnt
878,2007,137,3
879,2007,138,7
880,2007,139,2
881,2007,140,11
882,2007,142,1
883,2007,143,1
884,2007,144,11
885,2007,145,4
886,2007,146,2
887,2007,147,7
888,2007,148,7
889,2007,150,4
890,2007,151,3
891,2007,152,4
892,2007,153,5
893,2007,154,3
894,2007,155,12
895,2007,156,4
896,2007,157,1
897,2007,158,4
898,2007,159,2
899,2007,160,5
900,2007,161,3
901,2007,162,1
902,2007,163,5
903,2007,164,7
904,2007,165,4
905,2007,166,6
906,2007,168,9
907,2007,169,5
908,2007,170,24
909,2007,171,5
910,2007,172,6
911,2007,173,8
912,2007,175,7
913,2007,177,7
914,2007,178,5
915,2007,179,6
916,2007,180,3
917,2007,181,1
918,2007,182,5
919,2007,183,2
920,2007,184,6
921,2007,186,8
922,2007,187,2
923,2007,188,9
924,2007,190,11
925,2007,194,2
926,2007,195,11
927,2007,197,7
928,2007,199,8
929,2007,201,4
930,2007,206,3
931,2007,207,8
932,2007,210,4
933,2007,211,3
934,2007,212,3
935,2007,215,2
936,2007,216,4
937,2007,217,8
938,2007,218,3
939,2007,219,4
940,2007,224,2
941,2007,225,5
942,2007,226,7
943,2007,228,3
944,2007,229,4
945,2007,230,7
946,2007,231,5
947,2007,232,1
948,2007,233,4
949,2007,234,8
950,2007,235,1
951,2007,236,2
952,2007,237,1
953,2007,238,18
954,2007,239,7
955,2007,240,9
956,2007,241,10
957,2007,242,8
958,2007,243,20
959,2007,244,10
960,2007,245,20
961,2007,246,1
962,2007,249,1
963,2007,250,2
964,2007,251,3
965,2007,252,3
966,2007,253,2
967,2007,254,1
968,2007,255,2
969,2007,257,1
970,2007,258,3
971,2007,260,2
972,2007,261,3
973,2007,263,2
974,2007,264,2
975,2007,265,4
976,2007,266,5
977,2007,267,2
978,2007,270,6
979,2007,271,2
980,2007,272,17
981,2007,273,16
982,2007,274,2
983,2007,275,20
984,2007,276,6
985,2007,277,3
986,2007,278,16
987,2007,279,6
988,2007,280,7
989,2007,281,14
990,2007,282,5
991,2007,283,30
992,2007,284,11
993,2007,285,12
994,2007,286,20
995,2007,287,17
996,2007,289,2
997,2007,290,18
998,2007,291,21
999,2007,292,8
1000,2007,293,21
1001,2007,294,28
1002,2007,295,17
1003,2007,296,15
1004,2007,297,17
1005,2007,298,11
1006,2007,299,4
1007,2007,300,7
1008,2007,301,25
1009,2007,302,32
1010,2007,303,7
1011,2007,304,15
1012,2007,305,16
1013,2007,306,12
1014,2007,307,19
1015,2007,308,7
1016,2007,309,10
1017,2007,310,30
1018,2007,312,4
1019,2007,313,7
1020,2007,314,7
1021,2007,315,25
1022,2007,316,15
1023,2007,317,27
1024,2007,318,4
1025,2007,319,4
1026,2007,320,14
1027,2007,321,5
1028,2007,322,12
1029,2007,323,10
1030,2007,324,13
1031,2007,325,5
1032,2007,326,4
1033,2007,327,8
1034,2007,328,3
1035,2007,329,6
1036,2007,330,6
1037,2007,331,5
1038,2007,332,1
1039,2007,333,3
1040,2007,334,5
1041,2007,335,8
1042,2007,336,9
1043,2007,337,3
1044,2007,338,13
1045,2007,339,7
1046,2007,341,1
1047,2007,342,2
1048,2007,344,5
1049,2007,346,1
1050,2007,347,14
1051,2007,349,8
1052,2007,350,23
1053,2007,351,13
1054,2007,352,5
1055,2007,354,14
1056,2007,355,13
1057,2007,356,17
1058,2007,357,4
1059,2007,358,1
1060,2007,359,13
1061,2007,360,13
1062,2007,361,3
1063,2007,362,8
1064,2007,363,20
1065,2007,364,21
1066,2007,365,19
1067,2007,366,2
1068,2007,367,12
1069,2007,368,7
1070,2007,369,5
1071,2007,370,21
1072,2007,371,4
1073,2007,372,4
1074,2007,373,16
1075,2007,374,7
1076,2007,376,4
1077,2007,377,11
1078,2007,378,12
1079,2007,379,12
1080,2007,380,13
1081,2007,381,9
1082,2007,382,3
1083,2007,383,21
1084,2007,384,7
1085,2007,385,7
1086,2007,386,24
1087,2007,387,6
1088,2007,388,24
1089,2007,389,8
1090,2007,390,8
1091,2007,391,20
1092,2007,392,8
1093,2007,393,21
1094,2007,394,34
1095,2007,395,14
1096,2007,396,8
1097,2007,397,10
1098,2007,398,10
1099,2007,400,8
1100,2007,401,5
1101,2007,402,2
1102,2007,403,11
1103,2007,404,7
1104,2007,405,3
1105,2007,407,8
1106,2007,409,5
1107,2007,410,12
1108,2007,411,14
1109,2007,412,1
1110,2007,413,2
1111,2007,414,2
1112,2007,416,2
1113,2007,418,1
1114,2007,420,13
1115,2007,421,8
1116,2007,422,7
1117,2007,423,6
1118,2007,424,2
1119,2007,425,4
1120,2007,426,1
1121,2007,427,8
1122,2007,430,11
1123,2007,431,12
1124,2007,432,2
1125,2007,433,9
1126,2007,434,12
1127,2007,435,17
1128,2007,436,5
1129,2007,437,9
1130,2007,438,2
1131,2007,439,2
1132,2007,440,9
1133,2007,441,6
1134,2007,442,12
1135,2007,443,1
1136,2007,444,12
1137,2007,445,3
1138,2007,446,6
1139,2007,447,3
1140,2007,448,11
1141,2007,449,1
1142,2007,450,6
1143,2007,451,5
1144,2007,452,4
1145,2007,453,9
1146,2007,454,1
1147,2007,455,1
1148,2007,456,13
1149,2007,457,6
1150,2007,458,16
1151,2007,460,6
1152,2007,461,13
1153,2007,462,4
1154,2007,463,24
1155,2007,464,11
1156,2007,465,14
1157,2007,466,3
1158,2007,467,17
1159,2007,468,5
1160,2007,469,11
1161,2007,470,2
1162,2007,471,7
1163,2007,472,4
1164,2007,473,12
1165,2007,474,6
1166,2007,475,5
1167,2007,476,8
1168,2007,477,1
1169,2007,478,6
1170,2007,479,13
1171,2007,480,20
1172,2007,481,28
1173,2007,482,7
1174,2007,484,16
1175,2007,485,4
1176,2007,486,17
1177,2007,487,9
1178,2007,488,19
1179,2007,489,1
1180,2007,490,31
1181,2007,491,6
1182,2007,492,9
1183,2007,493,16
1184,2007,494,3
1185,2007,495,5
1186,2007,496,12
1187,2007,497,14
1188,2007,498,24
1189,2007,499,16
1190,2007,500,13
1191,2007,501,6
1192,2007,502,8
1193,2007,503,4
1194,2007,504,3
1195,2007,505,7
1196,2007,506,8
1197,2007,507,5
1198,2007,510,2
1199,2007,511,2
1200,2007,512,2
1201,2007,513,3
1202,2007,514,3
1203,2007,515,12
1204,2007,516,3
1205,2007,520,11
1206,2007,521,6
1207,2007,522,9
1208,2007,523,7
1209,2007,524,2
1210,2007,525,9
1211,2007,526,8
1212,2007,527,13
1213,2007,528,2
1214,2007,530,26
1215,2007,531,20
1216,2007,532,2
1217,2007,535,31
1218,2007,537,1
1219,2007,538,4
1220,2007,539,19
1221,2007,540,5
1222,2007,541,22
1223,2007,542,5
1224,2007,543,3
1225,2007,544,31
1226,2007,545,16
1227,2007,546,24
1228,2007,547,13
1229,2007,548,15
1230,2007,549,29
1231,2007,550,17
1232,2007,551,4
1233,2007,553,17
1234,2007,554,4
1235,2007,556,1
1236,2007,557,12
1237,2007,558,2
1238,2007,559,8
1239,2007,560,14
1240,2007,561,8
1241,2007,562,17
1242,2007,563,17
1243,2007,564,4
1244,2007,565,7
1245,2007,566,10
1246,2007,567,5
1247,2007,570,18
1248,2007,571,7
1249,2007,572,10
1250,2007,573,14
1251,2007,574,3
1252,2007,575,15
1253,2007,576,3
1254,2007,577,12
1255,2007,580,10
1256,2007,581,4
1257,2007,582,6
1258,2007,583,5
1259,2007,584,7
1260,2007,585,6
1261,2007,586,5
1262,2007,587,5
1263,2007,588,3
1264,2007,590,10
1265,2007,591,2
1266,2007,592,3
1267,2007,593,5
1268,2007,594,8
1269,2007,595,4
1270,2007,596,3
1271,2007,597,10
1272,2007,598,12
1273,2007,599,7
1274,2007,600,8
1275,2007,601,8
1276,2007,604,17
1277,2007,605,8
1278,2007,606,6
1279,2007,608,2
1280,2007,609,5
1281,2007,610,17
1282,2007,611,6
1283,2007,612,4
1284,2007,613,10
1285,2007,614,7
1286,2007,615,4
1287,2007,616,3
1288,2007,617,15
1289,2007,618,7
1290,2007,619,3
1291,2007,620,4
1292,2007,622,10
1293,2007,623,4
1294,2007,624,11
1295,2007,625,5
1296,2007,626,11
1297,2007,627,2
1298,2007,628,10
1299,2007,629,5
1300,2007,630,12
1301,2007,631,9
1302,2007,633,13
1303,2007,634,9
1304,2007,635,3
1305,2007,636,4
1306,2007,637,6
1307,2007,638,15
1308,2007,639,3
1309,2007,640,18
1310,2007,641,6
1311,2007,644,18
1312,2007,645,5
1313,2007,646,4
1314,2007,647,12
1315,2007,648,17
1316,2007,650,1
1317,2007,651,1
1318,2007,652,11
1319,2007,653,4
1320,2007,654,2
1321,2007,655,5
1322,2007,656,6
1323,2007,657,12
1324,2007,658,3
1325,2007,660,5
1326,2007,661,5
1327,2007,664,4
1328,2007,665,11
1329,2007,666,1
1330,2007,667,9
1331,2007,668,11
1332,2007,669,5
1333,2007,670,8
1334,2007,671,10
1335,2007,672,4
1336,2007,673,4
1337,2007,674,13
1338,2007,675,7
1339,2007,676,12
1340,2007,677,12
1341,2007,678,23
1342,2007,679,3
1343,2007,680,6
1344,2007,681,2
1345,2007,682,1
1346,2007,683,9
1347,2007,684,8
1348,2007,685,2
1349,2007,686,8
1350,2007,687,12
1351,2007,688,19
1352,2007,689,5
1353,2007,690,3
1354,2007,691,14
1355,2007,692,3
1356,2007,693,9
1357,2007,700,14
1358,2007,701,6
1359,2007,703,21
1360,2007,704,17
1361,2007,705,35
1362,2007,706,20
1363,2007,707,27
1364,2007,708,3
1365,2007,710,24
1366,2007,711,5
1367,2007,712,19
1368,2007,713,11
1369,2007,714,17
1370,2007,716,11
1371,2007,717,13
1372,2007,718,12
1373,2007,719,5
1374,2007,720,19
1375,2007,721,14
1376,2007,722,4
1377,2007,723,22
1378,2007,724,6
1379,2007,725,2
1380,2007,726,6
1381,2007,727,8
1382,2007,728,8
1383,2007,729,11
1384,2007,730,23
1385,2007,731,16
1386,2007,734,6
1387,2007,735,7
1388,2007,736,11
1389,2007,737,8
1390,2007,738,3
1391,2007,739,9
1392,2007,740,17
1393,2007,741,4
1394,2007,743,11
1395,2007,744,14
1396,2007,745,11
1397,2007,746,4
1398,2007,747,12
1399,2007,748,8
1400,2007,749,12
1401,2007,750,10
1402,2007,751,25
1403,2007,752,8
1404,2007,754,16
1405,2007,755,9
1406,2007,756,11
1407,2007,757,13
1408,2007,758,11
1409,2007,759,22
1410,2007,760,19
1411,2007,761,6
1412,2007,762,19
1413,2007,763,9
1414,2007,764,6
1415,2007,765,14
1416,2007,766,11
1417,2007,767,3
1418,2007,768,10
1419,2007,769,10
1420,2007,770,36
1421,2007,773,21
1422,2007,774,23
1423,2007,775,25
1424,2007,776,10
1425,2007,777,3
1426,2007,778,8
1427,2007,779,9
1428,2007,780,26
1429,2007,781,10
1430,2007,782,9
1431,2007,783,20
1432,2007,784,3
1433,2007,785,16
1434,2007,786,18
1435,2007,787,2
1436,2007,788,11
1437,2007,789,4
1438,2007,790,31
1439,2007,791,9
1440,2007,792,6
1441,2007,793,11
1442,2007,794,5
1443,2007,795,11
1444,2007,796,2
1445,2007,797,23
1446,2007,798,11
1447,2007,799,4
1448,2007,800,8
1449,2007,801,5
1450,2007,802,5
1451,2007,804,3
1452,2007,805,6
1453,2007,806,8
1454,2007,807,11
1455,2007,808,12
1456,2007,809,1
1457,2007,810,18
1458,2007,811,5
1459,2007,812,5
1460,2007,813,3
1461,2007,814,2
1462,2007,815,4
1463,2007,816,3
1464,2007,820,18
1465,2007,822,8
1466,2007,823,8
1467,2007,824,7
1468,2007,825,2
1469,2007,826,9
1470,2007,827,6
1471,2007,828,4
1472,2007,829,8
1473,2007,830,1
1474,2007,831,3
1475,2007,832,13
1476,2007,833,11
1477,2007,834,10
1478,2007,835,3
1479,2007,836,11
1480,2007,837,3
1481,2007,838,10
1482,2007,840,11
1483,2007,841,5
1484,2007,843,9
1485,2007,844,4
1486,2007,845,5
1487,2007,846,13
1488,2007,847,19
1489,2007,850,5
1490,2007,852,8
1491,2007,853,19
1492,2007,855,1
1493,2007,856,6
1494,2007,857,3
1495,2007,860,11
