REPORT_DATE,VEHICLES_IN_ACCIDENT,FIPS,COUNTY,change_2006_2016,indicator_2002_2006,indicator_1999_2001,indicator_1993_1998
1999-05-12,6.0,29139,29139,0.0,0,1,0
1998-03-25,7.0,29077,29077,-3.0,0,0,1
1995-09-19,6.0,29121,29121,-1.0,0,0,1
1995-03-15,5.0,29510,29510,0.0,0,0,1
1995-04-04,8.0,26077,26077,0.0,0,0,1
1996-11-11,5.0,26099,26099,-4.0,0,0,1
2000-11-22,9.0,26163,26163,-5.0,0,1,0
2000-01-18,6.0,26021,26021,-2.0,0,1,0
1995-11-07,6.0,26069,26069,0.0,0,0,1
1995-05-09,5.0,24005,24005,-1.0,0,0,1
1995-10-26,9.0,21029,21029,0.0,0,0,1
2000-05-09,5.0,21029,21029,0.0,0,1,0
1998-01-19,10.0,18097,18097,0.0,0,0,1
1995-01-09,5.0,18097,18097,0.0,0,0,1
1995-05-01,7.0,18097,18097,0.0,0,0,1
1997-06-03,6.0,18163,18163,0.0,0,0,1
1996-01-07,9.0,18177,18177,0.0,0,0,1
1995-06-23,9.0,18177,18177,0.0,0,0,1
1994-02-22,5.0,19103,19103,0.0,0,0,1
1996-02-15,28.0,19049,19049,-1.0,0,0,1
1997-06-09,8.0,13015,13015,0.0,0,0,1
1996-04-08,5.0,13089,13089,-2.0,0,0,1
1995-09-07,5.0,13095,13095,-4.0,0,0,1
2000-03-08,9.0,12121,12121,-1.0,0,1,0
1999-09-20,5.0,08013,08013,-1.0,0,1,0
1997-03-01,8.0,08005,08005,-1.0,0,0,1
2000-07-20,5.0,05093,05093,-1.0,0,1,0
1999-09-20,5.0,01073,01073,-3.0,0,1,0
1997-06-20,5.0,01119,01119,-3.0,0,0,1
2002-02-04,15.0,18177,18177,0.0,1,0,0
2001-10-12,5.0,01089,01089,0.0,0,1,0
2001-06-25,6.0,21011,21011,0.0,0,1,0
2002-02-14,5.0,53057,53057,-1.0,1,0,0
2002-02-05,6.0,53033,53033,-3.0,1,0,0
2002-03-03,7.0,40037,40037,0.0,1,0,0
2000-12-17,5.0,08019,08019,0.0,0,1,0
2000-10-28,6.0,48375,48375,-1.0,0,1,0
2001-07-23,5.0,20093,20093,0.0,0,1,0
2001-07-23,5.0,20093,20093,0.0,0,1,0
