REPORT_DATE,FATALITIES,STATE,COUNTY,change_2007,change_2008,change_2015,change_2016,change_2006_2016,indicator_2002_2006,indicator_1999_2001,indicator_1993_1998,has_accident_before_2006,name,Longitude,Latitude,Region,Family,Color,Nearest Neighbor,Region_color,simple_family
2024-08-18,1,NV,32031,0.0,-1.0,-1.0,0.0,-1.0,0,0,0,0,Washoe,-119.6643222,40.66566815,W,Growth Management,green,Sacramento,#d62728,Reform
2024-02-25,1,CA,6073,0.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,San Diego,-116.7353982,33.03386576,W,Growth Management,green,San Diego,#d62728,Reform
2024-08-02,1,FL,12011,0.0,1.0,0.0,0.0,1.0,0,0,0,0,Broward,-80.48723143,26.15220703,S,Growth Management,green,Miami,#1f77b4,Reform
2024-08-12,1,OR,41051,0.0,0.0,0.0,0.0,-1.0,0,0,0,0,Multnomah,-122.4157429,45.54693681,W,Containment,green,Portland (WA),#d62728,Reform
2024-08-10,1,SC,45055,-1.0,1.0,0.0,0.0,0.0,0,0,0,0,Kershaw,-80.5903514,34.33859234,S,Middle America,orange,Charlotte (NC),#1f77b4,Traditional
2022-10-07,1,OH,39025,0.0,0.0,0.0,-1.0,0.0,0,0,0,0,Clermont,-84.15193439,39.04742036,MW,Middle America,orange,Cincinnati (OH),#f7b6d2,Traditional
2022-06-07,1,CA,6071,1.0,-4.0,-3.0,1.0,-5.0,0,0,0,0,San Bernardino,-116.1783784,34.84157876,W,Containment,green,Las Vegas (AZ),#d62728,Reform
2024-07-12,1,AZ,4013,1.0,0.0,1.0,0.0,4.0,0,0,0,0,Maricopa,-112.4908888,33.34875974,W,Growth Management,green,Phoenix,#d62728,Reform
2022-02-14,1,OH,39155,0.0,0.0,0.0,0.0,1.0,0,0,0,0,Trumbull,-80.76110735,41.31734436,MW,Middle America,orange,Cleveland,#f7b6d2,Traditional
2024-07-31,1,SC,45059,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Laurens,-82.00535135,34.48372258,S,Middle America,orange,Charlotte (NC),#1f77b4,Traditional
2024-06-14,1,WA,53053,0.0,1.0,0.0,0.0,2.0,0,0,0,0,Pierce,-122.1122121,47.02680625,W,Containment,green,Seattle,#d62728,Reform
2024-06-06,2,AZ,4005,-1.0,1.0,0.0,1.0,0.0,0,0,0,0,Coconino,-111.7705493,35.83875351,W,Growth Management,green,Phoenix,#d62728,Reform
2022-11-23,1,OH,39095,0.0,0.0,0.0,1.0,2.0,0,0,0,0,Lucas,-83.65545282,41.62064794,MW,Middle America,orange,Detroit,#f7b6d2,Traditional
2022-06-29,1,OH,39049,0.0,0.0,0.0,-2.0,0.0,0,0,0,0,Franklin,-83.0091231,39.96927249,MW,Middle America,orange,Columbus,#f7b6d2,Traditional
2022-11-23,1,FL,12099,1.0,-1.0,0.0,0.0,2.0,0,0,0,0,Palm Beach,-80.46503899,26.64741122,S,Growth Management,green,West Palm Beach,#1f77b4,Reform
2024-06-22,2,NC,37153,0.0,0.0,0.0,0.0,-1.0,0,0,0,0,Richmond,-79.74711644,35.00590629,S,Middle America,orange,Greensboro,#1f77b4,Traditional
2024-07-20,1,AR,5123,-1.0,-1.0,0.0,-1.0,-3.0,0,0,0,0,St. Francis,-90.74840472,35.02180511,S,Containment,green,Memphis (AR),#1f77b4,Reform
2024-05-15,1,SC,45033,0.0,0.0,0.0,0.0,1.0,0,0,0,0,Dillon,-79.37858369,34.39138915,S,Middle America,orange,Raleigh,#1f77b4,Traditional
2022-11-26,1,OK,40145,0.0,0.0,1.0,-1.0,0.0,0,0,0,0,Wagoner,-95.52115154,35.96138606,S,Middle America,orange,Oklahoma City,#1f77b4,Traditional
2024-03-28,2,CA,6037,0.0,0.0,-2.0,0.0,-6.0,0,0,0,0,Los Angeles,-118.224703,34.32134579,W,Growth Management,green,Los Angeles,#d62728,Reform
2022-09-03,1,OK,40081,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Lincoln,-96.88123961,35.7027284,S,Middle America,orange,Oklahoma City,#1f77b4,Traditional
2022-08-09,1,OK,40143,0.0,0.0,1.0,-1.0,0.0,0,0,0,0,Tulsa,-95.94143178,36.12121947,S,Middle America,orange,Oklahoma City,#1f77b4,Traditional
2024-06-25,1,OH,39017,0.0,0.0,0.0,0.0,-2.0,0,0,0,0,Butler,-84.57607723,39.43897921,S,Middle America,orange,Cincinnati (KY),#1f77b4,Traditional
2022-03-18,1,CT,9009,0.0,0.0,-2.0,0.0,-1.0,0,0,0,0,New Haven,-72.93235204,41.41072833,NE,Middle America,orange,New Haven,#9edae5,Traditional
2024-07-01,1,TN,47037,1.0,0.0,0.0,0.0,1.0,0,0,0,0,Davidson,-86.78502875,36.16932462,S,Containment,green,Nashville,#1f77b4,Reform
