CRASH_ID,REPORT_STATE,REPORT_DATE,REPORT_SEQ_NO,LOCATION,CITY_CODE,CITY,STATE,COUNTY_CODE,CARGO_BODY_TYPE_ID,VEHICLE_IDENTIFICATION_NUMBER,VEHICLE_LICENSE_NUMBER,VEHICLE_CONFIGURATION_ID,VEHICLES_IN_ACCIDENT,FATALITIES,INJURIES,CRASH_EVENT_SEQ_ID_DESC
3961494,NM,20200319,1,I 40,,NOT IN CITY,NM,31.0,3.0,4V4NC9EH7KN217409,XP43606,8.0,3.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
3961495,NM,20200319,2,I 40,,NOT IN CITY,NM,31.0,3.0,1FUJGLD59ELFJ1554,XP05085,9.0,3.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
3964601,CA,20200427,1,JOHN WILKIE MEMORIAL SAFETY REST/250ft RT40,,UNINCORPORATED,CA,71.0,5.0,1FUJGLCK89LAD0008,XP61401,8.0,2.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
3964602,CA,20200427,2,JOHN WILKIE MEMORIAL SAFETY REST/250ft RT40,,UNINCORPORATED,CA,71.0,3.0,3AKJGLD50GSGU6557,2WZ612,9.0,2.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
3967844,CA,20200415,1,RT92 WB/.6m E TOLL PLAZA,,HAYWARD,CA,1.0,3.0,3ALACWCY2FDGT5535,45803X2,5.0,2.0,0,1,2:14:COLLISION INVOLVING PARKED MOTOR VEHICLE;1:1:NONCOLLISION:RAN OFF ROAD
3967845,CA,20200415,2,RT92 WB/.6m E TOLL PLAZA,,HAYWARD,CA,1.0,3.0,5PVNJ8JVXD4S55569,27758K1,5.0,2.0,0,1,2:14:COLLISION INVOLVING PARKED MOTOR VEHICLE;1:1:NONCOLLISION:RAN OFF ROAD
3974681,CA,20200506,1,RT5 SB/1.6m N COCKLEBURR RD,,UNINCORPORATED,CA,73.0,3.0,1FUJGLDR0BSAV2919,9F27554,11.0,3.0,0,1,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
3974682,CA,20200506,2,RT5 SB/1.6m N COCKLEBURR RD,,UNINCORPORATED,CA,73.0,3.0,3AKJGLD69GSHH7829,PAP3583,9.0,3.0,0,1,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
3975012,CA,20200508,1,ATLANTIC BL/300ft S OLYMPIC BL,,UNINCORPORATED,CA,37.0,3.0,3HAMMMML1JL436566,55718J2,5.0,3.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
3975013,CA,20200508,2,ATLANTIC BL/300ft S OLYMPIC BL,,UNINCORPORATED,CA,37.0,3.0,1HTMMAAL7EH783348,87972L1,5.0,3.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
3977024,WI,20200430,2,USH 012 EB,,GENEVA,WI,127.0,3.0,1FDRF3F65KEE76068,JHQ627,5.0,3.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
3977025,WI,20200430,3,USH 012 EB,,GENEVA,WI,127.0,3.0,3HSDZAPR0JN439829,VB9869,9.0,3.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
3978697,TN,20200601,1,I-81,,WHITE PINE,TN,89.0,3.0,1M1AW22Y8FM048557,2279606,9.0,2.0,0,0,2:14:COLLISION INVOLVING PARKED MOTOR VEHICLE;1:13:COLLISION INVOLVING MOTOR VEHICLE IN TRANSPORT
3978698,TN,20200601,2,I-81,,WHITE PINE,TN,89.0,3.0,1FUJGLDR5BSBB9364,JA73WT,9.0,2.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE;2:13:COLLISION INVOLVING MOTOR VEHICLE IN TRANSPORT
3980404,ID,20200402,1,US 26,,IRWIN,ID,19.0,6.0,1XP5DB9X0YD492697,22C162,6.0,2.0,0,0,2:14:COLLISION INVOLVING PARKED MOTOR VEHICLE;1:98:OTHER:LOSS OF CONTROL
3980405,ID,20200402,2,US 26,,IRWIN,ID,19.0,3.0,3HSDJSNR0FN667272,1153102,9.0,2.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
3980411,ID,20200423,1,I 86,,AMERICAN FALLS,ID,77.0,10.0,1XKDD49X9BJ277101,AL6226,10.0,7.0,0,0,4:14:COLLISION INVOLVING PARKED MOTOR VEHICLE;2:98:OTHER:Rear-End;1:13:COLLISION INVOLVING MOTOR VEHICLE IN TRANSPORT;3:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
3980415,ID,20200423,8,I 86,,AMERICAN FALLS,ID,77.0,5.0,1NPXGGGG80D274411,VE3606,9.0,7.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
3980416,ID,20200423,9,I 86,,AMERICAN FALLS,ID,77.0,5.0,3AKJHHDR4JSHU5516,07AP3S,9.0,7.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
3984493,CA,20200601,1,RT580 WB/675ft E FALLON RD,,LIVERMORE,CA,1.0,3.0,1FUJGLCK5ALAP9675,9E65489,9.0,2.0,0,1,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
3984494,CA,20200601,2,RT580 WB/675ft E FALLON RD,,LIVERMORE,CA,1.0,3.0,1FUJGLDR4CSBJ8616,WP62921,9.0,2.0,0,1,2:13:COLLISION INVOLVING MOTOR VEHICLE IN TRANSPORT;3:14:COLLISION INVOLVING PARKED MOTOR VEHICLE;1:1:NONCOLLISION:RAN OFF ROAD
3986111,NC,20200612,1,40,,OLD FORT,NC,111.0,5.0,1XPHDP9X6CD140906,NK4429,9.0,2.0,0,1,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
3986112,NC,20200612,2,40,,OLD FORT,NC,111.0,3.0,1FUJCRCK27PX65993,NL2276,9.0,2.0,0,1,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
3988171,MA,20171118,1,RTE 95 SB WELCOME CENTER,,SALISBURY,MA,9.0,3.0,3AKJGLDR2DSFH4027,P734462,9.0,2.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
3988172,MA,20171118,2,RTE 95 SB WELCOME CENTER,,SALISBURY,MA,9.0,3.0,JALC4W160G7002094,S50733,5.0,2.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
3990726,OH,20200601,1,IR 71,,RANGE (TOWNSHIP OF),OH,97.0,4.0,1M1AW22Y5FM049116,PVT9225,9.0,6.0,1,2,4:10:NONCOLLISION:OTHER;1:19:COLLISION WITH WORK ZONE MAINTENANCE EQUIPMENT;2:13:COLLISION INVOLVING MOTOR VEHICLE IN TRANSPORT;3:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
3990728,OH,20200601,5,IR 71,,RANGE (TOWNSHIP OF),OH,97.0,3.0,53BPTEA24JA035608,TQZ1043,99.0,6.0,1,2,1:20:COLLISION INVOLVING OTHER MOVABLE OBJECT;2:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
3991936,CA,20200622,1,WEST NATIONAL DR/348ft W LENNANE DR,,UNINCORPORATED,CA,67.0,3.0,1XPBDP9X9LD712329,XP70573,9.0,2.0,0,1,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
3991939,CA,20200622,1,23RD AVE/268ft W MENDOCINO BLVD,,UNINCORPORATED,CA,67.0,7.0,1NKWL0EX54R057494,54783B1,6.0,2.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
3994424,OK,20200607,1,INTERSTATE 44 EAST BOUND,,BRISTOW,OK,37.0,3.0,3HSDJAPR5GN412285,P841956,9.0,2.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
